               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092135,            0.026752,            0.034122,            0.044115,            0.022222,           0.0096088,           0.0032024,            0.052076,            0.023135,            0.024663,             0.00076,             0.00076,             0.09316
                   1,            0.065195,            0.027776,            0.031646,             0.19917,              0.7734,             0.28084,             0.13367,            0.033337,             0.02113,            0.022114,             0.00153,             0.00153,             0.08623
                   2,             0.04989,            0.025887,            0.028715,             0.40049,             0.58047,             0.51913,             0.24078,             0.02675,            0.016465,            0.017938,           0.0022998,           0.0022998,              0.0793
                   3,             0.04786,            0.021667,             0.02639,             0.38382,             0.89302,             0.53445,             0.29803,            0.027626,            0.012763,            0.014939,           0.0030693,           0.0030693,            0.072369
                   4,            0.046995,            0.018928,            0.025559,             0.31722,             0.90741,             0.46518,             0.23269,            0.035109,            0.010397,            0.013043,           0.0038385,           0.0038385,            0.065438
                   5,            0.048118,            0.016127,            0.021975,             0.53977,             0.88105,             0.66449,             0.20956,            0.037126,            0.008868,            0.011078,           0.0046072,           0.0046072,            0.058507
                   6,            0.051145,            0.014998,            0.020213,             0.70377,             0.88957,             0.85525,             0.37013,            0.033866,           0.0078366,           0.0096957,           0.0053752,           0.0053752,            0.051575
                   7,            0.049251,             0.01439,            0.018936,             0.64763,             0.89765,             0.84158,             0.44957,            0.037579,            0.006916,           0.0077776,           0.0061426,           0.0061426,            0.044643
                   8,            0.051463,            0.011704,            0.016405,             0.68977,             0.82222,             0.84858,             0.49715,            0.036418,           0.0067204,           0.0072826,           0.0069091,           0.0069091,            0.037709
                   9,            0.049108,            0.011844,            0.015162,             0.73102,              0.7994,             0.87429,             0.49962,            0.034298,           0.0062708,           0.0067623,           0.0076746,           0.0076746,            0.030775
                  10,            0.048224,            0.010859,            0.012398,             0.69133,             0.85185,             0.83942,             0.49155,            0.033986,           0.0060046,           0.0067324,           0.0084391,           0.0084391,            0.023839
                  11,             0.05108,            0.010942,            0.013806,             0.60596,              0.9168,             0.82934,             0.55045,            0.034735,           0.0054083,           0.0070112,           0.0092025,           0.0092025,            0.016902
                  12,            0.052463,            0.010308,            0.011696,             0.80853,             0.85386,             0.92001,             0.48879,            0.036952,           0.0055571,           0.0057087,           0.0099645,           0.0099645,           0.0099645
                  13,            0.051352,            0.012877,            0.011971,             0.40284,             0.81582,             0.56159,             0.22296,            0.035125,           0.0054205,           0.0071703,           0.0099645,           0.0099645,           0.0099645
                  14,            0.045147,             0.01002,            0.012027,             0.78697,             0.75912,             0.81102,             0.29302,            0.032232,           0.0054823,           0.0078456,           0.0099584,           0.0099584,           0.0099584
                  15,            0.044438,            0.010039,            0.010913,             0.74147,              0.8702,             0.90143,             0.61478,            0.024944,           0.0052936,           0.0080324,           0.0099517,           0.0099517,           0.0099517
                  16,            0.039615,           0.0098055,           0.0097797,             0.78812,             0.70594,             0.86401,             0.40595,            0.029613,           0.0053128,           0.0082086,           0.0099446,           0.0099446,           0.0099446
                  17,            0.043931,            0.010462,           0.0098826,             0.71564,             0.83333,             0.82892,             0.47602,            0.024121,           0.0053882,           0.0069591,            0.009937,            0.009937,            0.009937
                  18,             0.03641,            0.010263,           0.0085563,             0.69685,             0.86525,             0.84458,             0.45556,            0.027082,           0.0048226,           0.0060216,           0.0099289,           0.0099289,           0.0099289
                  19,            0.040224,           0.0099528,           0.0079767,             0.92009,             0.92013,             0.95501,             0.66439,            0.021453,           0.0049899,             0.00526,           0.0099203,           0.0099203,           0.0099203
                  20,            0.035776,           0.0094452,           0.0067116,             0.90427,              0.8586,             0.93775,              0.4265,            0.027716,           0.0046194,           0.0067948,           0.0099112,           0.0099112,           0.0099112
                  21,            0.037108,           0.0095833,            0.011597,             0.88218,             0.90378,             0.98406,             0.76602,            0.018598,           0.0046017,           0.0071627,           0.0099017,           0.0099017,           0.0099017
                  22,             0.03293,           0.0093343,            0.012396,             0.94364,             0.84874,             0.96377,             0.64032,            0.023453,            0.004399,           0.0067488,           0.0098916,           0.0098916,           0.0098916
