               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097661,            0.026716,            0.036349,            0.012075,            0.022222,           0.0044728,           0.0009656,             0.05769,            0.022731,            0.024671,             0.00057,             0.00057,             0.09487
                   1,            0.070942,            0.028609,            0.034251,             0.10913,             0.51693,              0.2041,            0.085841,            0.032649,            0.022126,            0.022958,             0.00115,             0.00115,             0.08965
                   2,            0.050925,            0.026612,            0.030003,             0.41851,             0.41987,             0.42584,             0.17028,            0.026294,            0.017617,            0.019056,           0.0017298,           0.0017298,             0.08443
                   3,            0.046964,            0.022868,             0.02784,             0.53695,             0.79259,             0.64182,             0.34725,             0.02646,            0.013409,            0.017163,           0.0023095,           0.0023095,            0.079209
                   4,             0.04569,            0.019422,             0.02613,             0.34966,             0.96296,             0.59806,             0.29315,            0.023641,            0.011429,            0.014293,           0.0028889,           0.0028889,            0.073989
                   5,            0.046956,             0.01766,             0.02308,             0.47411,              0.7975,             0.67509,             0.29588,            0.031218,           0.0096814,            0.012531,           0.0034679,           0.0034679,            0.068768
                   6,            0.047015,            0.015612,            0.021466,             0.53434,             0.78148,             0.72558,             0.35362,            0.036449,           0.0085329,            0.010727,           0.0040464,           0.0040464,            0.063546
                   7,             0.04823,            0.014615,            0.019455,             0.67949,             0.93896,             0.90488,             0.64755,            0.027285,             0.00774,           0.0097123,           0.0046244,           0.0046244,            0.058324
                   8,            0.048894,            0.013633,            0.018491,              0.8251,              0.7693,             0.87636,             0.51305,            0.035813,            0.006671,           0.0088052,           0.0052018,           0.0052018,            0.053102
                   9,            0.050777,            0.012608,            0.016994,             0.62972,             0.83005,             0.77594,             0.40926,            0.031958,           0.0063485,            0.007611,           0.0057784,           0.0057784,            0.047878
                  10,            0.053664,            0.012946,            0.016398,             0.64593,             0.92589,             0.82767,             0.55003,            0.029686,           0.0060751,           0.0062804,           0.0063543,           0.0063543,            0.042654
                  11,            0.050019,            0.011133,            0.013645,             0.61368,             0.83676,             0.77658,             0.36362,            0.030826,           0.0059634,           0.0059428,           0.0069293,           0.0069293,            0.037429
                  12,            0.047869,             0.01113,            0.012339,             0.54131,             0.66465,             0.69458,             0.28043,            0.037012,           0.0053654,           0.0054495,           0.0075033,           0.0075033,            0.032203
                  13,            0.048955,             0.01026,            0.014377,             0.78049,                 0.9,             0.90043,             0.32406,            0.034766,           0.0052934,           0.0059244,           0.0080762,           0.0080762,            0.026976
                  14,            0.050389,            0.010123,             0.01055,             0.47096,             0.71751,              0.5879,             0.26617,            0.041485,           0.0049344,            0.006413,            0.008648,            0.008648,            0.021748
                  15,            0.044414,            0.010313,           0.0095427,              0.6293,             0.73199,             0.68266,             0.34759,             0.04049,           0.0048131,           0.0055367,           0.0092186,           0.0092186,            0.016519
                  16,            0.047786,           0.0094395,            0.011095,             0.66771,             0.90007,             0.85136,             0.45519,            0.023923,           0.0051682,           0.0058336,           0.0097879,           0.0097879,            0.011288
                  17,            0.047336,            0.010648,            0.012078,             0.81998,             0.84813,              0.8915,             0.42003,             0.03006,           0.0053854,           0.0055165,           0.0099289,           0.0099289,           0.0099289
                  18,            0.047162,             0.01152,            0.012462,             0.65257,             0.86925,             0.83903,             0.44782,            0.029264,           0.0051882,           0.0053232,           0.0099289,           0.0099289,           0.0099289
                  19,            0.042291,            0.010893,            0.010255,             0.63498,             0.87037,              0.7684,              0.4413,            0.031865,           0.0047831,           0.0066517,           0.0099203,           0.0099203,           0.0099203
                  20,            0.045954,            0.010293,            0.010646,             0.69127,             0.88148,              0.8675,             0.48472,            0.030945,            0.004836,           0.0060878,           0.0099112,           0.0099112,           0.0099112
                  21,            0.041978,           0.0091158,           0.0092432,             0.80329,             0.83875,             0.87641,             0.41771,            0.026641,           0.0056356,           0.0063837,           0.0099017,           0.0099017,           0.0099017
                  22,            0.042204,            0.009856,           0.0080257,             0.82113,             0.88503,             0.90519,             0.51384,            0.022432,            0.005244,           0.0056433,           0.0098916,           0.0098916,           0.0098916
                  23,             0.04206,            0.010453,           0.0090645,              0.8063,             0.91111,             0.93947,             0.65116,            0.022121,           0.0052473,           0.0055127,           0.0098811,           0.0098811,           0.0098811
                  24,            0.038565,            0.010202,            0.010364,             0.74793,             0.88467,             0.95152,              0.6551,            0.019483,           0.0067201,           0.0092835,           0.0098701,           0.0098701,           0.0098701
                  25,            0.037563,            0.010347,           0.0099527,             0.87717,             0.90391,             0.96246,             0.57924,            0.025516,           0.0051008,           0.0061494,           0.0098586,           0.0098586,           0.0098586
                  26,            0.039215,           0.0093272,           0.0083149,             0.77052,             0.88889,             0.92611,             0.57481,            0.020895,           0.0051737,           0.0041293,           0.0098467,           0.0098467,           0.0098467
                  27,            0.034385,           0.0096472,           0.0086718,             0.91119,             0.86587,             0.94264,             0.72406,            0.023333,           0.0050219,           0.0047256,           0.0098342,           0.0098342,           0.0098342
                  28,             0.03491,           0.0098197,             0.01193,             0.82789,             0.96992,             0.94363,             0.59186,             0.02253,           0.0051143,           0.0053568,           0.0098213,           0.0098213,           0.0098213
                  29,            0.033612,           0.0096068,           0.0078127,             0.93737,             0.96085,             0.96678,             0.63641,            0.016929,           0.0044412,           0.0038838,           0.0098079,           0.0098079,           0.0098079
                  30,            0.032813,           0.0095267,           0.0071881,              0.9111,             0.93224,             0.94047,             0.62723,            0.020082,           0.0046136,           0.0036968,           0.0097941,           0.0097941,           0.0097941
                  31,            0.032342,           0.0089938,           0.0095141,             0.95531,             0.94951,             0.95268,             0.69449,            0.017057,           0.0043247,           0.0045637,           0.0097798,           0.0097798,           0.0097798
                  32,            0.034041,           0.0090593,           0.0079294,             0.95842,             0.94076,             0.95547,             0.71147,            0.015238,            0.004661,           0.0048843,            0.009765,            0.009765,            0.009765
                  33,            0.031407,            0.009153,           0.0062054,             0.96681,             0.92982,             0.96255,             0.72734,            0.016823,           0.0041011,           0.0055875,           0.0097497,           0.0097497,           0.0097497
                  34,            0.029828,           0.0091977,           0.0091746,             0.96823,              0.9121,             0.97841,             0.66509,            0.016884,           0.0047404,           0.0043987,            0.009734,            0.009734,            0.009734
                  35,            0.029645,           0.0091048,           0.0071046,             0.81933,             0.95941,              0.9791,             0.67448,            0.017727,           0.0047928,           0.0047396,           0.0097178,           0.0097178,           0.0097178
                  36,            0.030621,           0.0087815,           0.0085794,             0.94086,             0.94074,              0.9747,             0.75319,            0.017557,           0.0043931,           0.0050022,           0.0097011,           0.0097011,           0.0097011
                  37,            0.031523,           0.0089298,           0.0088457,             0.76496,             0.94074,             0.91468,             0.61886,            0.016815,           0.0047072,           0.0063008,            0.009684,            0.009684,            0.009684
                  38,            0.031992,           0.0094745,            0.011948,             0.87475,             0.88874,                0.97,             0.77036,             0.01512,           0.0046556,           0.0093327,           0.0096664,           0.0096664,           0.0096664
                  39,            0.029421,           0.0091139,           0.0083006,             0.88034,             0.94743,             0.94929,              0.6661,            0.017932,           0.0057447,           0.0050012,           0.0096484,           0.0096484,           0.0096484
                  40,            0.030488,           0.0094289,           0.0082179,             0.84963,             0.70727,             0.84074,             0.48724,            0.024358,           0.0086045,           0.0038629,           0.0096299,           0.0096299,           0.0096299
                  41,            0.029877,           0.0089488,           0.0062285,             0.94999,             0.94778,             0.97703,             0.73549,            0.015509,           0.0053234,           0.0046197,            0.009611,            0.009611,            0.009611
                  42,            0.029835,           0.0092359,            0.007387,             0.93749,             0.95174,             0.98525,             0.74554,            0.015528,           0.0043038,            0.005504,           0.0095916,           0.0095916,           0.0095916
                  43,            0.027772,           0.0088397,           0.0068826,             0.95415,             0.94373,             0.98192,             0.72589,            0.019484,           0.0045525,           0.0057938,           0.0095717,           0.0095717,           0.0095717
                  44,            0.028075,           0.0082562,           0.0077962,             0.94874,             0.86665,             0.97752,             0.79317,            0.015079,           0.0048706,           0.0081236,           0.0095514,           0.0095514,           0.0095514
                  45,            0.024353,           0.0086844,            0.006451,             0.92692,             0.92223,             0.98416,             0.68287,             0.01562,           0.0046153,           0.0064686,           0.0095307,           0.0095307,           0.0095307
                  46,            0.027463,           0.0084653,           0.0061418,             0.89883,              0.9591,             0.97674,             0.75287,            0.014576,           0.0052834,           0.0042216,           0.0095095,           0.0095095,           0.0095095
                  47,            0.027588,           0.0090517,           0.0075037,             0.89847,             0.83264,             0.95368,             0.68196,            0.015671,           0.0064449,           0.0065425,           0.0094879,           0.0094879,           0.0094879
                  48,            0.026712,           0.0089443,           0.0067318,             0.92586,             0.96203,             0.97458,             0.75042,            0.016758,             0.00527,           0.0043366,           0.0094659,           0.0094659,           0.0094659
                  49,            0.028785,           0.0080944,           0.0067528,             0.85177,             0.94385,             0.98032,             0.78058,            0.012805,           0.0050855,           0.0066437,           0.0094434,           0.0094434,           0.0094434
                  50,            0.025084,           0.0081651,           0.0051582,             0.91226,             0.92226,             0.98329,             0.78293,            0.014891,           0.0042549,           0.0049626,           0.0094205,           0.0094205,           0.0094205
