               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11943,            0.030654,            0.043345,          0.00061255,             0.15253,           0.0003877,          8.0195e-05,            0.067902,            0.028778,            0.026976,               3e-05,               3e-05,             0.09973
                   1,             0.11395,            0.028097,            0.042533,           0.0015096,             0.42054,           0.0012088,          0.00020636,            0.063282,            0.024316,            0.026411,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.10734,             0.02659,            0.040636,           0.0018503,             0.46498,           0.0017984,          0.00035425,            0.058712,            0.022046,            0.025804,          0.00010999,          0.00010999,             0.09901
                   3,            0.097426,            0.026081,            0.039329,           0.0028925,             0.33165,           0.0030864,          0.00059079,             0.05234,            0.020369,            0.024833,          0.00014997,          0.00014997,             0.09865
                   4,            0.083365,            0.025851,             0.03858,           0.0041091,             0.51145,           0.0044605,          0.00089049,            0.047448,            0.019327,            0.023883,          0.00018993,          0.00018993,             0.09829
                   5,            0.077104,            0.026505,            0.037163,           0.0048465,             0.43232,           0.0056796,           0.0012364,            0.041787,            0.019254,            0.022873,          0.00022986,          0.00022986,             0.09793
                   6,            0.071381,            0.026859,            0.035551,           0.0084755,             0.33468,            0.010055,           0.0024318,            0.037203,            0.019253,            0.021891,          0.00026976,          0.00026976,             0.09757
                   7,            0.064933,            0.027254,            0.035539,            0.015584,             0.20808,             0.01906,           0.0047839,            0.034827,            0.018963,            0.020906,          0.00030963,          0.00030963,             0.09721
                   8,            0.063143,             0.02757,            0.033679,            0.029126,             0.24141,              0.0355,            0.009005,            0.033716,            0.018539,            0.020067,          0.00034945,          0.00034945,            0.096849
                   9,            0.057548,            0.028653,            0.032501,            0.066907,             0.29697,            0.076981,            0.022754,            0.032205,            0.018076,            0.019355,          0.00038922,          0.00038922,            0.096489
                  10,            0.058274,            0.027299,            0.032025,             0.13987,              0.6542,             0.17356,            0.063955,            0.029839,            0.017721,            0.018731,          0.00042894,          0.00042894,            0.096129
                  11,            0.050949,            0.027543,            0.030412,              0.2775,             0.77441,             0.39122,             0.16724,            0.028266,             0.01705,            0.018148,           0.0004686,           0.0004686,            0.095769
